Method,Overhead,Error Rate,Success Rate,CI Lower,CI Upper,Threshold
Reed-Solomon (RS4),1.0,0.049999999999999996,0.01,0,0.02950175376728975,
Reed-Solomon (RS8),2.0,0.0004999999999999999,0.94,0.8934525790188113,0.9865474209811886,0.007820198364574945
Reed-Solomon (RS8),2.0,0.0008340502686000295,0.94,0.8934525790188113,0.9865474209811886,
Reed-Solomon (RS8),2.0,0.0013912797011035628,0.95,0.9072827903533014,0.9927172096466985,
Reed-Solomon (RS8),2.0,0.002320794416806388,0.79,0.7101675855306882,0.8698324144693119,
Reed-Solomon (RS8),2.0,0.0038713184134056343,0.74,0.6540276881781116,0.8259723118218883,
Reed-Solomon (RS8),2.0,0.006457748325074419,0.56,0.46270815861543174,0.6572918413845683,
Reed-Solomon (RS8),2.0,0.010772173450159416,0.37,0.27537035559614526,0.46462964440385474,
Reed-Solomon (RS8),2.0,0.017969068319023125,0.19,0.11310902263594252,0.2668909773640575,
Reed-Solomon (RS8),2.0,0.02997421251594704,0.05,0.007282790353301406,0.0927172096466986,
Reed-Solomon (RS8),2.0,0.049999999999999996,0.01,0,0.02950175376728975,
Hybrid (RS4 + TMR),1.5,0.0004999999999999999,1.0,1.0,1,0.020112844068473825
Hybrid (RS4 + TMR),1.5,0.0008340502686000295,0.99,0.9704982462327102,1,
Hybrid (RS4 + TMR),1.5,0.0013912797011035628,0.99,0.9704982462327102,1,
Hybrid (RS4 + TMR),1.5,0.002320794416806388,0.97,0.9365649046659053,1,
Hybrid (RS4 + TMR),1.5,0.0038713184134056343,0.94,0.8934525790188113,0.9865474209811886,
Hybrid (RS4 + TMR),1.5,0.006457748325074419,0.93,0.8799911847770816,0.9800088152229185,
Hybrid (RS4 + TMR),1.5,0.010772173450159416,0.77,0.6875168283829969,0.8524831716170032,
Hybrid (RS4 + TMR),1.5,0.017969068319023125,0.55,0.4524912311635513,0.6475087688364488,
Hybrid (RS4 + TMR),1.5,0.02997421251594704,0.27,0.18298394630874143,0.3570160536912586,
Hybrid (RS4 + TMR),1.5,0.049999999999999996,0.06,0.013452579018811368,0.10654742098118863,
Hybrid (Hamming + RS4),0.484375,0.0004999999999999999,1.0,1.0,1,0.025608705535247432
Hybrid (Hamming + RS4),0.484375,0.0008340502686000295,1.0,1.0,1,
Hybrid (Hamming + RS4),0.484375,0.0013912797011035628,0.99,0.9704982462327102,1,
Hybrid (Hamming + RS4),0.484375,0.002320794416806388,0.98,0.95256,1,
Hybrid (Hamming + RS4),0.484375,0.0038713184134056343,0.97,0.9365649046659053,1,
Hybrid (Hamming + RS4),0.484375,0.006457748325074419,0.89,0.8286736076391249,0.9513263923608751,
Hybrid (Hamming + RS4),0.484375,0.010772173450159416,0.79,0.7101675855306882,0.8698324144693119,
Hybrid (Hamming + RS4),0.484375,0.017969068319023125,0.64,0.54592,0.7340800000000001,
Hybrid (Hamming + RS4),0.484375,0.02997421251594704,0.42,0.3232625325946559,0.516737467405344,
Hybrid (Hamming + RS4),0.484375,0.049999999999999996,0.17,0.09637597131370766,0.24362402868629235,
