Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
GEO,None,None,SingleBit,1e-05,0,35,0,20100000,86,0,0,0,1,0,5.23831
GEO,None,Basic,SingleBit,1e-05,0,35,0,20100000,227,0,0,0,1,0,5.39831
GEO,None,Standard,SingleBit,1e-05,0,35,0,20100000,281,0,0,0,1,0,5.23273
GEO,None,Advanced,SingleBit,1e-05,0,35,0,20100000,0,0,0,0,1,0,6.38845
GEO,Minimal,None,SingleBit,1e-05,0,35,0,20100000,251,251,251,0,1,10,5.79094
GEO,Minimal,Basic,SingleBit,1e-05,0,35,0,20100000,18,18,18,0,1,10,5.3933
GEO,Minimal,Standard,SingleBit,1e-05,0,35,0,20100000,286,286,166,120,0.58042,10,5.5442
GEO,Minimal,Advanced,SingleBit,1e-05,0,35,0,20100000,422,422,422,0,1,10,5.47032
GEO,Moderate,None,SingleBit,1e-05,0,35,0,20100000,145,145,0,145,0,50,5.27494
GEO,Moderate,Basic,SingleBit,1e-05,0,35,0,20100000,172,172,172,0,1,50,5.26074
GEO,Moderate,Standard,SingleBit,1e-05,0,35,0,20100000,321,321,172,149,0.535826,50,5.42719
GEO,Moderate,Advanced,SingleBit,1e-05,0,35,0,20100000,486,486,486,0,1,50,5.42778
GEO,High,None,SingleBit,1e-05,0,35,0,20100000,362,362,362,0,1,100,6.13324
GEO,High,Basic,SingleBit,1e-05,0,35,0,20100000,172,172,28,144,0.162791,100,5.47225
GEO,High,Standard,SingleBit,1e-05,0,35,0,20100000,49,49,49,0,1,100,5.51161
GEO,High,Advanced,SingleBit,1e-05,0,35,0,20100000,39,39,39,0,1,100,5.57416
GEO,Very High,None,SingleBit,1e-05,0,35,0,20100000,43,43,43,0,1,200,5.44001
GEO,Very High,Basic,SingleBit,1e-05,0,35,0,20100000,297,297,194,103,0.653199,200,6.49102
GEO,Very High,Standard,SingleBit,1e-05,0,35,0,20100000,229,229,30,199,0.131004,200,5.96432
GEO,Very High,Advanced,SingleBit,1e-05,0,35,0,20100000,137,137,64,73,0.467153,200,5.52013
GEO,Adaptive,None,SingleBit,1e-05,0,35,0,20100000,271,271,221,50,0.815498,75,5.53518
GEO,Adaptive,Basic,SingleBit,1e-05,0,35,0,20100000,0,0,0,0,1,75,7.12046
GEO,Adaptive,Standard,SingleBit,1e-05,0,35,0,20100000,8,8,8,0,1,75,5.3145
GEO,Adaptive,Advanced,SingleBit,1e-05,0,35,0,20100000,137,137,137,0,1,75,5.24027
Lunar,None,None,AdjacentBits,2e-05,0,35,0,20100000,717,0,0,0,1,0,5.32618
Lunar,None,Basic,AdjacentBits,2e-05,0,35,0,20100000,670,0,0,0,1,0,5.25399
Lunar,None,Standard,AdjacentBits,2e-05,0,35,0,20100000,376,0,0,0,1,0,5.52667
Lunar,None,Advanced,AdjacentBits,2e-05,0,35,0,20100000,256,0,0,0,1,0,5.45625
Lunar,Minimal,None,AdjacentBits,2e-05,0,35,0,20100000,529,529,213,316,0.402647,10,5.49937
Lunar,Minimal,Basic,AdjacentBits,2e-05,0,35,0,20100000,400,400,342,58,0.855,10,5.66552
Lunar,Minimal,Standard,AdjacentBits,2e-05,0,35,0,20100000,280,280,280,0,1,10,5.3912
Lunar,Minimal,Advanced,AdjacentBits,2e-05,0,35,0,20100000,558,558,158,400,0.283154,10,5.56232
Lunar,Moderate,None,AdjacentBits,2e-05,0,35,0,20100000,578,578,236,342,0.408304,50,5.55122
Lunar,Moderate,Basic,AdjacentBits,2e-05,0,35,0,20100000,825,825,615,210,0.745455,50,7.07535
Lunar,Moderate,Standard,AdjacentBits,2e-05,0,35,0,20100000,581,581,559,22,0.962134,50,5.50819
Lunar,Moderate,Advanced,AdjacentBits,2e-05,0,35,0,20100000,360,360,334,26,0.927778,50,5.3721
Lunar,High,None,AdjacentBits,2e-05,0,35,0,20100000,0,0,0,0,1,100,5.39634
Lunar,High,Basic,AdjacentBits,2e-05,0,35,0,20100000,0,0,0,0,1,100,5.49572
Lunar,High,Standard,AdjacentBits,2e-05,0,35,0,20100000,218,218,98,120,0.449541,100,5.75426
Lunar,High,Advanced,AdjacentBits,2e-05,0,35,0,20100000,209,209,209,0,1,100,5.71102
Lunar,Very High,None,AdjacentBits,2e-05,0,35,0,20100000,675,675,493,182,0.73037,200,5.23122
Lunar,Very High,Basic,AdjacentBits,2e-05,0,35,0,20100000,642,642,453,189,0.705607,200,5.29789
Lunar,Very High,Standard,AdjacentBits,2e-05,0,35,0,20100000,816,816,694,122,0.85049,200,5.73401
Lunar,Very High,Advanced,AdjacentBits,2e-05,0,35,0,20100000,657,657,240,417,0.365297,200,9.51006
Lunar,Adaptive,None,AdjacentBits,2e-05,0,35,0,20100000,683,683,683,0,1,75,26.7503
Lunar,Adaptive,Basic,AdjacentBits,2e-05,0,35,0,20100000,724,724,355,369,0.490331,75,6.03863
Lunar,Adaptive,Standard,AdjacentBits,2e-05,0,35,0,20100000,299,299,289,10,0.966555,75,6.26206
